epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.671,1.07351,2.13691,1.47179,0.3241,0.19607,0.17189,0.09452,1.65285,4.35303,2.19644,0.000415625,0.000415625,0.000415625
2,584.449,1.2813,2.10679,1.6151,0.33533,0.23105,0.20429,0.11699,1.46902,2.91702,1.94479,0.000815812,0.000815812,0.000815812
3,873.389,1.21002,2.01516,1.56059,0.51332,0.27228,0.31017,0.21194,1.18497,2.61195,1.69106,0.0011995,0.0011995,0.0011995
4,1160.75,1.14073,1.86733,1.51257,0.48491,0.37383,0.37812,0.26105,1.10474,1.93819,1.59858,0.00117575,0.00117575,0.00117575
5,1448.29,1.0644,1.74979,1.46001,0.54857,0.39203,0.43431,0.30152,0.9963,1.71458,1.50755,0.001151,0.001151,0.001151
6,1735.74,1.00785,1.64181,1.42126,0.56472,0.3985,0.44585,0.31927,0.93673,1.64057,1.45992,0.00112625,0.00112625,0.00112625
7,2023.11,0.96098,1.54282,1.38504,0.47917,0.42398,0.40129,0.29422,0.92375,1.90386,1.44171,0.0011015,0.0011015,0.0011015
8,2310.54,0.95443,1.50268,1.38614,0.4555,0.47904,0.42296,0.30799,0.93486,2.15182,1.47054,0.00107675,0.00107675,0.00107675
9,2597.15,0.93095,1.45467,1.37594,0.57058,0.48724,0.52941,0.38665,0.86708,1.43565,1.39739,0.001052,0.001052,0.001052
10,2883.51,0.91002,1.39739,1.36198,0.61311,0.44525,0.50487,0.37058,0.87669,1.35398,1.40535,0.00102725,0.00102725,0.00102725
11,3170.83,0.87343,1.33865,1.33748,0.63304,0.41957,0.50318,0.37955,0.86914,1.78626,1.39505,0.0010025,0.0010025,0.0010025
12,3458.08,0.88358,1.35778,1.34224,0.5233,0.42612,0.47394,0.35851,0.84473,1.67343,1.37325,0.00097775,0.00097775,0.00097775
13,3744.36,0.8807,1.35608,1.34561,0.63878,0.49391,0.54411,0.41288,0.80423,1.33869,1.35663,0.000953,0.000953,0.000953
14,4030.4,0.82267,1.28187,1.30504,0.61813,0.51893,0.56194,0.4288,0.7891,1.21495,1.33227,0.00092825,0.00092825,0.00092825
15,4316.59,0.80203,1.22795,1.27599,0.60618,0.50668,0.55909,0.43264,0.76977,1.17781,1.33594,0.0009035,0.0009035,0.0009035
16,4604.01,0.80229,1.22141,1.28619,0.65101,0.49759,0.57056,0.44682,0.75881,1.1613,1.31826,0.00087875,0.00087875,0.00087875
17,4891.81,0.80678,1.21129,1.28903,0.61347,0.53485,0.59401,0.46066,0.73864,1.12083,1.29676,0.000854,0.000854,0.000854
18,5179.67,0.79505,1.18519,1.27202,0.69045,0.49737,0.60685,0.4728,0.71533,1.0812,1.27964,0.00082925,0.00082925,0.00082925
19,5467.31,0.76162,1.13768,1.25274,0.67511,0.51606,0.60375,0.47383,0.70799,1.03823,1.25268,0.0008045,0.0008045,0.0008045
20,5755.08,0.77238,1.14071,1.25341,0.68612,0.51871,0.60513,0.47697,0.73415,1.04048,1.27557,0.00077975,0.00077975,0.00077975
21,6042.45,0.74516,1.11697,1.24378,0.66222,0.5392,0.61094,0.47602,0.71352,1.02322,1.26505,0.000755,0.000755,0.000755
22,6329.72,0.75178,1.10746,1.24352,0.7033,0.52581,0.6234,0.49246,0.67347,1.05773,1.24216,0.00073025,0.00073025,0.00073025
23,6617.54,0.7258,1.07497,1.22792,0.61763,0.55854,0.61684,0.48987,0.70095,1.02846,1.25993,0.0007055,0.0007055,0.0007055
24,6904.69,0.72925,1.07841,1.22883,0.62526,0.56134,0.61931,0.49159,0.70884,1.00578,1.25266,0.00068075,0.00068075,0.00068075
25,7192.3,0.71837,1.03188,1.22461,0.67784,0.58003,0.64336,0.51407,0.68015,0.94985,1.24093,0.000656,0.000656,0.000656
26,7480.18,0.72591,1.04655,1.21841,0.69043,0.53886,0.6294,0.50578,0.68233,0.99616,1.23131,0.00063125,0.00063125,0.00063125
27,7767.46,0.67724,1.01282,1.19116,0.7212,0.55241,0.65242,0.52224,0.68122,0.94932,1.25268,0.0006065,0.0006065,0.0006065
