                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88092,                 2.5054,                 1.2087,                0.83468,                 4.4239,                 1.1361,                 0.4196,                0.36037,                0.33383,                0.23847,                0.93528,                 2.3144,                 1.2913,                0.89172,                 5.6602,                   1.21,             0.00023681,             0.00023681,             0.00023681
                      2,                0.93394,                 1.7845,                  1.244,                0.94336,                 3.1442,                 1.1941,                0.47757,                0.35253,                0.31789,                0.21284,                 1.0022,                   2.55,                 1.3241,                  1.013,                 4.0604,                 1.2793,             0.00046541,             0.00046541,             0.00046541
                      3,                0.96173,                 1.6787,                 1.2437,                 1.0033,                 2.3902,                 1.2107,                0.30053,                 0.3129,                0.21306,                0.14149,                 1.1038,                 2.9398,                 1.4126,                 1.1129,                 3.7493,                 1.3889,             0.00068458,             0.00068458,             0.00068458
                      4,                0.94646,                   1.56,                 1.2353,                 1.0265,                 2.0306,                 1.2187,                0.52728,                0.42614,                0.43178,                0.30316,                0.97143,                 1.8335,                 1.3151,                 1.0092,                 2.3914,                 1.2978,             0.00067159,             0.00067159,             0.00067159
                      5,                0.93651,                 1.4668,                 1.2385,                 1.0134,                 1.8668,                 1.2217,                0.60821,                0.38661,                 0.4369,                0.30908,                0.94956,                 1.9246,                 1.2815,                 1.0084,                 2.2832,                 1.2736,             0.00067159,             0.00067159,             0.00067159
                      6,                0.90427,                 1.3823,                 1.2215,                 0.9864,                 1.7261,                 1.2087,                0.44066,                0.44315,                0.40767,                0.26903,                0.99642,                 1.7882,                 1.3294,                 1.0312,                 2.0815,                 1.3026,             0.00065745,             0.00065745,             0.00065745
                      7,                0.89109,                  1.335,                 1.2127,                0.98407,                 1.6531,                 1.2142,                0.56256,                0.47685,                0.50436,                0.37145,                0.88261,                 1.4168,                 1.2465,                0.93227,                 1.6272,                 1.2338,             0.00064331,             0.00064331,             0.00064331
                      8,                0.87313,                 1.2803,                 1.1973,                0.96398,                 1.5719,                  1.195,                0.61933,                0.47395,                0.53286,                0.39371,                0.86449,                 1.4311,                 1.2012,                0.92396,                 1.5945,                 1.2011,             0.00062918,             0.00062918,             0.00062918
                      9,                0.87538,                 1.2684,                 1.1926,                0.97202,                 1.5597,                 1.1942,                0.62387,                0.49136,                0.54104,                0.39991,                0.85807,                 1.2718,                 1.2205,                0.90625,                 1.4552,                 1.2199,             0.00061504,             0.00061504,             0.00061504
                     10,                0.83547,                 1.2049,                 1.1787,                0.93186,                 1.4786,                 1.1813,                0.64392,                0.46279,                0.53334,                0.40622,                0.80621,                 1.2871,                 1.1874,                0.84296,                 1.4758,                 1.1784,              0.0006009,              0.0006009,              0.0006009
                     11,                 0.8214,                 1.1678,                 1.1706,                0.92043,                 1.4326,                 1.1791,                0.59741,                0.50807,                0.56779,                0.42575,                0.82936,                 1.2695,                 1.1971,                0.87978,                 1.4477,                 1.1977,             0.00058677,             0.00058677,             0.00058677
                     12,                0.81814,                 1.1495,                 1.1688,                0.92189,                 1.4097,                 1.1775,                0.62399,                 0.5239,                 0.5727,                0.43517,                0.77821,                 1.2098,                 1.1655,                0.84676,                 1.3542,                 1.1844,             0.00057263,             0.00057263,             0.00057263
                     13,                0.80703,                 1.1288,                 1.1645,                0.90949,                 1.3894,                 1.1689,                0.69284,                0.48399,                0.56312,                0.41943,                0.85047,                 1.3038,                 1.2237,                0.89621,                 1.4597,                 1.2267,             0.00055849,             0.00055849,             0.00055849
                     14,                0.79224,                 1.0985,                 1.1537,                0.88999,                  1.355,                 1.1606,                0.66747,                0.49166,                0.57712,                0.43299,                0.79625,                 1.2222,                 1.1798,                0.84836,                 1.3862,                 1.1894,             0.00054435,             0.00054435,             0.00054435
