epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.6521,0.94081,2.42449,1.23999,0.47085,0.37673,0.35784,0.24335,1.07945,2.09129,1.4684,0.000415625,0.000415625,0.000415625
2,171.385,1.03205,1.8628,1.28517,0.46909,0.38323,0.39138,0.25366,1.14823,1.92254,1.53342,0.000815812,0.000815812,0.000815812
3,251.356,1.07937,1.79384,1.32544,0.4236,0.40355,0.39257,0.26388,1.20454,1.97773,1.52901,0.0011995,0.0011995,0.0011995
4,330.861,1.04986,1.66518,1.31002,0.59148,0.41754,0.45863,0.31362,1.0694,1.51632,1.42491,0.00117575,0.00117575,0.00117575
5,409.948,1.00397,1.58366,1.28157,0.54342,0.41733,0.45405,0.30371,1.07214,1.60791,1.43056,0.001151,0.001151,0.001151
6,489.553,0.97528,1.52181,1.26694,0.56082,0.44548,0.47695,0.34196,0.97497,1.71856,1.38182,0.00112625,0.00112625,0.00112625
7,569.344,0.97101,1.46654,1.25818,0.58614,0.46002,0.49834,0.36509,0.92185,1.51522,1.30348,0.0011015,0.0011015,0.0011015
8,650.123,0.92588,1.38179,1.23736,0.65037,0.44611,0.52578,0.38039,0.93349,1.39755,1.29874,0.00107675,0.00107675,0.00107675
9,731.2,0.91189,1.36728,1.22799,0.55395,0.48626,0.52697,0.39125,0.89616,1.40288,1.28671,0.001052,0.001052,0.001052
10,811.146,0.88439,1.29273,1.21875,0.64756,0.47254,0.5567,0.41561,0.853,1.19396,1.24798,0.00102725,0.00102725,0.00102725
11,890.291,0.90079,1.32084,1.22563,0.69828,0.46981,0.56814,0.4301,0.88461,1.31239,1.27789,0.0010025,0.0010025,0.0010025
12,969.158,0.87234,1.27061,1.2103,0.61497,0.50867,0.56526,0.43031,0.85616,1.26195,1.24907,0.00097775,0.00097775,0.00097775
13,1048.75,0.87567,1.26067,1.2136,0.64767,0.54322,0.5985,0.45053,0.83701,1.12333,1.26589,0.000953,0.000953,0.000953
14,1127.8,0.82484,1.19646,1.19042,0.65325,0.49856,0.58164,0.43318,0.84615,1.1803,1.24894,0.00092825,0.00092825,0.00092825
15,1207.59,0.82898,1.18585,1.18389,0.70088,0.5403,0.62163,0.47377,0.79491,1.06084,1.23453,0.0009035,0.0009035,0.0009035
16,1286.82,0.81451,1.17189,1.17069,0.67054,0.50798,0.60111,0.46241,0.81952,1.08985,1.24367,0.00087875,0.00087875,0.00087875
