epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.984,1.0192,2.03366,1.39854,0.33497,0.21099,0.11949,0.07069,1.59186,5.20391,2.27247,0.000415625,0.000415625,0.000415625
2,416.243,1.21715,2.03858,1.52565,0.23279,0.27319,0.14914,0.09113,1.42895,3.39682,1.87022,0.000815812,0.000815812,0.000815812
3,622.583,1.16231,1.97848,1.49015,0.35701,0.2926,0.29602,0.1992,1.15661,2.5293,1.62904,0.0011995,0.0011995,0.0011995
4,827.581,1.0768,1.77935,1.43065,0.60191,0.32975,0.38683,0.2709,1.06451,1.76638,1.52616,0.00117575,0.00117575,0.00117575
5,1032.75,1.00999,1.68098,1.39147,0.47442,0.3379,0.35608,0.23924,1.07795,1.8315,1.5838,0.001151,0.001151,0.001151
6,1237.83,0.95271,1.57148,1.34812,0.51987,0.44669,0.47534,0.34389,0.91592,1.46786,1.40232,0.00112625,0.00112625,0.00112625
7,1442.97,0.91599,1.49309,1.33,0.58889,0.44828,0.51361,0.38587,0.84785,1.38244,1.36615,0.0011015,0.0011015,0.0011015
8,1648.27,0.90697,1.42681,1.32975,0.62983,0.43196,0.51456,0.38163,0.89827,1.36283,1.39689,0.00107675,0.00107675,0.00107675
9,1853.07,0.88806,1.39661,1.31873,0.61452,0.45742,0.52999,0.40214,0.82372,1.34394,1.33911,0.001052,0.001052,0.001052
10,2058.66,0.86072,1.34992,1.29899,0.60529,0.49078,0.5496,0.42711,0.78849,1.20647,1.30282,0.00102725,0.00102725,0.00102725
11,2263.53,0.82589,1.28829,1.27564,0.55668,0.49038,0.54386,0.41771,0.83186,1.38222,1.34867,0.0010025,0.0010025,0.0010025
12,2468.94,0.82441,1.29752,1.27566,0.61611,0.48251,0.55381,0.42781,0.7699,1.2778,1.26902,0.00097775,0.00097775,0.00097775
13,2674.52,0.83002,1.2845,1.28342,0.71247,0.4809,0.58268,0.45637,0.73302,1.16464,1.27417,0.000953,0.000953,0.000953
14,2879.81,0.77716,1.21745,1.24892,0.62965,0.51827,0.58862,0.45806,0.72221,1.12709,1.2522,0.00092825,0.00092825,0.00092825
15,3084.78,0.75888,1.16626,1.22315,0.67105,0.52994,0.60114,0.46559,0.75357,1.09,1.28869,0.0009035,0.0009035,0.0009035
16,3289.52,0.76007,1.18241,1.22796,0.67018,0.53701,0.61299,0.48559,0.71195,1.02262,1.24863,0.00087875,0.00087875,0.00087875
17,3494.45,0.75815,1.16484,1.22528,0.62869,0.51778,0.59133,0.46795,0.72538,1.06599,1.25697,0.000854,0.000854,0.000854
18,3699.21,0.74746,1.12811,1.21491,0.61426,0.57289,0.62697,0.49543,0.70706,1.01404,1.23713,0.00082925,0.00082925,0.00082925
19,3904.81,0.71607,1.10017,1.19461,0.70569,0.53516,0.6139,0.48601,0.72701,1.03319,1.26121,0.0008045,0.0008045,0.0008045
20,4110.24,0.72181,1.08627,1.1985,0.67228,0.57347,0.63055,0.50631,0.69838,1.00388,1.2387,0.00077975,0.00077975,0.00077975
21,4316.05,0.70052,1.06434,1.18947,0.69639,0.55252,0.63623,0.50823,0.6843,1.00018,1.21842,0.000755,0.000755,0.000755
22,4522.16,0.699,1.06121,1.18316,0.64487,0.56955,0.62175,0.49376,0.67142,1.06368,1.23285,0.00073025,0.00073025,0.00073025
23,4726.72,0.68491,1.03745,1.17616,0.67541,0.59448,0.65072,0.52503,0.67031,0.9364,1.22169,0.0007055,0.0007055,0.0007055
24,4931.49,0.69109,1.02692,1.18329,0.71202,0.54745,0.64721,0.52464,0.66721,0.9267,1.20851,0.00068075,0.00068075,0.00068075
25,5136.58,0.67922,0.99,1.17783,0.68799,0.57513,0.64889,0.51631,0.67016,0.93973,1.21462,0.000656,0.000656,0.000656
26,5341.61,0.68018,1.00075,1.16959,0.67384,0.56999,0.64817,0.52475,0.65428,0.99941,1.20664,0.00063125,0.00063125,0.00063125
27,5546.96,0.64023,0.9579,1.14588,0.65333,0.60628,0.65643,0.52946,0.65701,0.95329,1.20279,0.0006065,0.0006065,0.0006065
28,5753.22,0.64841,0.96479,1.1503,0.66041,0.59329,0.6535,0.53026,0.65856,0.91946,1.21093,0.00058175,0.00058175,0.00058175
29,5958.24,0.64333,0.95879,1.15043,0.67904,0.58386,0.66318,0.54059,0.64965,0.92058,1.20208,0.000557,0.000557,0.000557
30,6163.62,0.63319,0.92837,1.14137,0.7073,0.57787,0.65378,0.53253,0.64749,0.93611,1.19013,0.00053225,0.00053225,0.00053225
31,6368.73,0.62629,0.91335,1.12966,0.71547,0.5592,0.65911,0.53856,0.63193,0.90447,1.18876,0.0005075,0.0005075,0.0005075
