                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91564,                 2.3897,                 1.2404,                0.51313,                0.39971,                0.40945,                 0.2881,                0.93466,                 2.1336,                 1.3552,             0.00023741,             0.00023741,             0.00023741
                      2,                0.91371,                  1.827,                 1.2262,                0.46478,                0.42754,                0.39346,                0.27097,                0.98456,                 2.0811,                 1.3574,             0.00046599,             0.00046599,             0.00046599
                      3,                0.95233,                 1.7072,                 1.2468,                0.55322,                0.40451,                0.44206,                0.29799,                 1.0495,                 1.8089,                 1.4405,             0.00068515,             0.00068515,             0.00068515
                      4,                0.95098,                 1.5838,                 1.2495,                0.54998,                0.45943,                0.48054,                0.33314,                 1.0257,                 1.5855,                 1.3967,             0.00067159,             0.00067159,             0.00067159
                      5,                0.91903,                 1.4773,                 1.2321,                0.59579,                0.42484,                  0.485,                0.34699,                 0.9455,                 1.6346,                 1.3293,             0.00067159,             0.00067159,             0.00067159
                      6,                  0.897,                 1.4354,                  1.218,                0.61437,                0.46862,                0.52033,                0.37904,                0.93153,                 1.3937,                 1.3319,             0.00065745,             0.00065745,             0.00065745
                      7,                 0.8809,                  1.358,                 1.2126,                0.58787,                0.52094,                0.55778,                0.41475,                 0.8857,                 1.3379,                 1.2832,             0.00064331,             0.00064331,             0.00064331
                      8,                0.86937,                 1.3218,                 1.1987,                0.63788,                0.48041,                0.54968,                 0.4068,                0.89172,                 1.3448,                 1.2806,             0.00062918,             0.00062918,             0.00062918
                      9,                0.86146,                 1.2986,                 1.1987,                0.65888,                0.51522,                0.55741,                0.41419,                0.86779,                 1.3497,                  1.257,             0.00061504,             0.00061504,             0.00061504
                     10,                0.84216,                 1.2335,                 1.1873,                0.65804,                0.50322,                 0.5773,                 0.4368,                 0.8407,                 1.2396,                 1.2402,              0.0006009,              0.0006009,              0.0006009
                     11,                 0.8351,                 1.2305,                  1.182,                 0.6836,                0.49519,                0.56671,                0.42255,                0.84194,                  1.223,                 1.2559,             0.00058677,             0.00058677,             0.00058677
                     12,                0.80755,                 1.1996,                 1.1656,                0.62891,                0.50657,                0.56435,                0.42746,                0.82609,                 1.2388,                 1.2193,             0.00057263,             0.00057263,             0.00057263
